run_uid,policy_id,cohort,step_uid,step_idx,used_data_stage_uid,table_code,status,sum_assured,entry_date,npdd,ltd_payment_term,entry_age_1,gender_1,entry_age_2,gender_2,joint_val_age,premium_frequency,modal_premium,unsmoothed_asset_share,smoothed_asset_share,surrender_benefit,death_benefit,exit_bonus_rate,unpaid_premiums,death_uplift_factor,guaranteed_death_benefit,title,type
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,12ff0e3a-eab8-4d55-94d5-92a561abd141,7,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,19.341463,19.67391,19.87065,5108.568,0.01,0,1.0748551,5108.568,Move To Closing Run Date,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,92ae5c91-e2f7-4112-8063-b143c467e4b3,8,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,19.341463,19.67391,19.87065,5108.568,0.01,0,1.0748551,5108.568,Data Roll-Forward,DATA_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,1b901498-b74d-408c-a3b4-f8654f63cf41,9,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,19.341463,19.67391,19.87065,5108.568,0.01,0,1.0748551,5108.568,Adjustments,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,320d8985-c752-43e1-89ba-72411a2053ad,10,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,19.341463,19.67391,19.87065,5108.568,0.01,0,1.0748551,5108.568,Premiums,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,a1639a6e-9660-4f8f-8029-ce01d2767ce7,11,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,19.215744,19.54603,19.74149,5108.568,0.01,0,1.0748551,5108.568,Deductions,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,4eafa688-4ae0-4ded-aa92-2710f876a981,12,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,17.9742,18.283146,18.465977,5108.568,0.01,0,1.0748551,5108.568,Mortality Charges,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,2df7f353-9b69-40c3-9f97-7b1fef2b8b2b,13,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,18.041477,18.351936,18.535456,5108.568,0.01,0,1.0748551,5108.568,Investment Returns,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,8d823d72-6027-49c0-8962-c1f725d199a5,14,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,18.041477,18.351936,18.535456,5116.0806,0.01,0,1.0748551,5116.0806,Closing Guaranteed Death Benefit,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,4698425d-e165-4881-a5dd-b90e342e1795,15,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,18.041477,18.351936,18.535456,5116.0806,0.01,0,1.0748551,5116.0806,Closing Death Uplift Factor,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,aff89bf5-604e-4989-8b11-c3ba24d1fca1,16,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,18.041477,18.351936,18.535456,5116.0806,0.01,0,1.0748551,5116.0806,Closing Exit Bonus Rate,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,7e38d53b-960c-44e1-8adc-13bf645196ec,17,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,18.041477,18.351936,18.535456,5116.0806,0.01,0,1.0748551,5116.0806,AoC Closing Consistency Check,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,b5c1db87-1bdd-4574-ad7a-86e4122c4799,18,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,18.041477,18.351936,18.535456,5116.0806,0.01,0,1.0748551,5116.0806,Status Changes To Paid-Up,DATA_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,ba0238f1-df2b-43c7-95b2-557d846a81f8,19,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,18.041477,18.351936,18.535456,5116.0806,0.01,0,1.0748551,5116.0806,Move To Closing Data,MOVE_TO_CLOSING_DATA
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,cf93808c-bacc-4137-b849-6227df8c177f,20,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,18.041477,18.351936,18.535456,5116.0806,0.01,0,1.0748551,5116.0806,Add New Records,ADD_NEW_RECORDS
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,3f8c9b7e-2a4d-4f3a-9e2e-7d1c8a9f6b2c,21,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,18.08233,18.354532,18.538076,5116.0806,0.01,0,1.0748551,5116.0806,Move To Closing Month-End,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43422593,REMAINING,9a1d4c3f-6b7e-4d2a-8f9c-3e2b1a7d5c4e,22,00000000-0000-0000-0000-000000000000,T68,AP,751.26,1986-10-25,2005-10-25,19,56,MALE,NA,NA,NA,MONTHLY,6.59,18.0149,18.418726,18.602913,5116.0806,0.01,0,1.0748551,5116.0806,Switch To Valuation Asset Shares,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,f198c564-7f6b-46a7-af3c-bd9b4ef6bc1b,0,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.3857871,1.412751,1.4268786,1983.6227,0.01,0,1.0704529,1983.6227,Opening Re-Run,OPENING_RERUN
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,6920fbd3-e1d1-4459-aca9-aa7c63267a14,1,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.3857871,1.412751,1.4268786,1983.6227,0.01,0,1.0704529,1983.6227,Remove Exited Records,REMOVE_EXITED_RECORDS
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,6d3385fc-8e01-4e95-9dc2-65471813ea5e,2,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.3857871,1.412751,1.4268786,1983.6227,0.01,0,1.0704529,1983.6227,Restated Opening Data,DATA_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,1254ec7b-e4ee-4a3b-b295-def984bc7e80,3,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.3857871,1.412751,1.4268785,1983.6227,0.01,0,1.0704529,1983.6227,AoC Opening Consistency Check,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,7f0492ca-6211-4032-bf89-a15879d07856,4,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.3857871,1.412751,1.4268785,1983.6227,0.01,0,1.0704529,1983.6227,Restated Opening Adjustments,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,d3d411ec-f5d7-419a-a9ff-67e3d95a9e15,5,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.3861488,1.4127741,1.4269018,1983.6227,0.01,0,1.0704529,1983.6227,Restated Opening Returns,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,61530067-7402-435c-8c3e-933d80d19220,6,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.2824539,1.3070873,1.3201581,1983.6227,0.01,0,1.0704529,1983.6227,Restated Opening Deductions,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,12ff0e3a-eab8-4d55-94d5-92a561abd141,7,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.2888502,1.3134053,1.3265393,1983.6227,0.01,0,1.0704529,1983.6227,Move To Closing Run Date,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,92ae5c91-e2f7-4112-8063-b143c467e4b3,8,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.2888502,1.3134053,1.3265393,1983.6227,0.01,0,1.0704529,1983.6227,Data Roll-Forward,DATA_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,1b901498-b74d-408c-a3b4-f8654f63cf41,9,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.2888502,1.3134053,1.3265393,1983.6227,0.01,0,1.0704529,1983.6227,Adjustments,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,320d8985-c752-43e1-89ba-72411a2053ad,10,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.2888502,1.3134053,1.3265393,1983.6227,0.01,0,1.0704529,1983.6227,Premiums,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,a1639a6e-9660-4f8f-8029-ce01d2767ce7,11,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.2804726,1.3048681,1.3179168,1983.6227,0.01,0,1.0704529,1983.6227,Deductions,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,4eafa688-4ae0-4ded-aa92-2710f876a981,12,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.1669852,1.1892185,1.2011107,1983.6227,0.01,0,1.0704529,1983.6227,Mortality Charges,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,2df7f353-9b69-40c3-9f97-7b1fef2b8b2b,13,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.1728055,1.1948391,1.2067875,1983.6227,0.01,0,1.0704529,1983.6227,Investment Returns,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,8d823d72-6027-49c0-8962-c1f725d199a5,14,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.1728055,1.1948391,1.2067875,1986.3701,0.01,0,1.0704529,1986.3701,Closing Guaranteed Death Benefit,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,4698425d-e165-4881-a5dd-b90e342e1795,15,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.1728055,1.1948391,1.2067875,1986.3701,0.01,0,1.0704529,1986.3701,Closing Death Uplift Factor,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,aff89bf5-604e-4989-8b11-c3ba24d1fca1,16,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.1728055,1.1948391,1.2067875,1986.3701,0.01,0,1.0704529,1986.3701,Closing Exit Bonus Rate,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,7e38d53b-960c-44e1-8adc-13bf645196ec,17,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.1728055,1.1948391,1.2067875,1986.3701,0.01,0,1.0704529,1986.3701,AoC Closing Consistency Check,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,b5c1db87-1bdd-4574-ad7a-86e4122c4799,18,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.1728055,1.1948391,1.2067875,1986.3701,0.01,0,1.0704529,1986.3701,Status Changes To Paid-Up,DATA_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,ba0238f1-df2b-43c7-95b2-557d846a81f8,19,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.1728055,1.1948391,1.2067875,1986.3701,0.01,0,1.0704529,1986.3701,Move To Closing Data,MOVE_TO_CLOSING_DATA
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,cf93808c-bacc-4137-b849-6227df8c177f,20,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.1728055,1.1948391,1.2067875,1986.3701,0.01,0,1.0704529,1986.3701,Add New Records,ADD_NEW_RECORDS
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,3f8c9b7e-2a4d-4f3a-9e2e-7d1c8a9f6b2c,21,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.1753913,1.1950036,1.2069536,1986.3701,0.01,0,1.0704529,1986.3701,Move To Closing Month-End,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43888583,REMAINING,9a1d4c3f-6b7e-4d2a-8f9c-3e2b1a7d5c4e,22,00000000-0000-0000-0000-000000000000,T75,AP,274.74,1983-10-09,2002-10-09,19,56,FEMALE,NA,NA,NA,MONTHLY,2.41,1.169558,1.2002089,1.212211,1986.3701,0.01,0,1.0704529,1986.3701,Switch To Valuation Asset Shares,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P43984445,REMAINING,f198c564-7f6b-46a7-af3c-bd9b4ef6bc1b,0,00000000-0000-0000-0000-000000000000,T65,AP,234.9,1993-07-12,2022-07-12,29,46,MALE,NA,NA,NA,MONTHLY,1.35,984.36804,1001.23376,1011.2461,1364.7689,0.01,0,1.1055305,1364.7689,Opening Re-Run,OPENING_RERUN
40b70255-1c18-488f-821c-492a2835c810,P43984445,REMAINING,6920fbd3-e1d1-4459-aca9-aa7c63267a14,1,00000000-0000-0000-0000-000000000000,T65,AP,234.9,1993-07-12,2022-07-12,29,46,MALE,NA,NA,NA,MONTHLY,1.35,984.36804,1001.23376,1011.2461,1364.7689,0.01,0,1.1055305,1364.7689,Remove Exited Records,REMOVE_EXITED_RECORDS
